"id" "pop" "longitude" "latitude" "bio.1" "bio.2" "bio.3" "bio.4" "pred.bio.1" "pred.bio.2" "pred.bio.3" "pred.bio.4"
4 38 7.9768 8.9329 0.61 0.299 0.87 0.914 0.883 0.361 1.405 1.244
8 28 9.6672 2.7931 0.755 0.727 0.847 1.496 0.824 0.892 0.756 1.716
9 68 1.8904 6.334 0.185 0.424 -0.053 0.644 0.296 0.631 -0.039 0.927
10 7 3.1061 0.8248 0.306 0.886 -0.25 1.237 0.439 0.82 0.058 1.258
17 43 10.3896 6.6319 0.887 0.446 1.215 1.251 0.603 0.301 0.904 0.904
18 33 0.7395 11.1219 0.096 0.098 0.07 0.243 0.238 -0.005 0.482 0.233
24 42 8.7935 4.7939 0.719 0.625 0.767 1.653 0.519 0.555 0.484 1.074
33 4 8.5744 4.7859 0.719 0.625 0.821 1.236 0.519 0.555 0.484 1.074
34 46 6.1176 5.2061 0.536 0.537 0.51 1.213 0.551 0.835 0.267 1.386
51 15 1.9888 9.126 0.242 0.286 0.193 0.654 0.22 0.478 -0.038 0.698
58 68 2.81 5.4832 0.282 0.504 0.094 0.798 0.447 0.468 0.427 0.916
62 53 5.5508 5.5761 0.417 0.574 0.314 0.959 0.216 0.394 0.039 0.61
79 52 5.2768 2.3689 0.451 0.758 0.097 1.127 0.483 0.86 0.107 1.343
87 22 4.179 8.8744 0.37 0.311 0.466 0.59 0.354 0.584 0.123 0.938
91 57 11.3334 2.0876 0.899 0.752 1.107 1.842 0.808 0.936 0.679 1.744
95 6 11.2098 5.8754 0.87 0.577 1.163 1.472 0.688 0.305 1.072 0.993
111 74 4.3339 11.0962 0.355 0.133 0.655 0.382 0.188 0.372 0.004 0.56
112 87 7.9687 9.2476 0.61 0.299 0.872 0.873 0.883 0.361 1.405 1.244
131 29 5.1432 5.5524 0.417 0.574 0.169 1.037 0.216 0.394 0.039 0.61
146 36 3.2878 0.9139 0.306 0.886 -0.267 1.237 0.439 0.82 0.058 1.258
157 72 4.4221 0.6934 0.401 0.909 -0.119 1.317 0.489 1.155 -0.177 1.644
172 26 3.0394 3.2731 0.32 0.688 -0.101 1.039 0.172 0.471 -0.127 0.644
174 42 7.4565 9.5791 0.584 0.209 0.968 0.768 0.715 0.131 1.298 0.845
203 18 1.1183 3.5941 0.138 0.727 -0.331 0.699 0.31 0.839 -0.219 1.15
204 72 10.307 11.0977 0.824 0.164 1.527 0.974 1.016 0.201 1.832 1.217
209 47 4.0751 3.1077 0.343 0.707 0.014 0.98 0.083 0.659 -0.493 0.742
214 20 7.8012 5.7785 0.619 0.561 0.632 1.259 0.724 0.373 1.074 1.097
215 75 1.1557 10.8897 0.096 0.098 0.006 0.163 0.238 -0.005 0.482 0.233
232 50 4.3059 0.7881 0.401 0.909 -0.01 1.301 0.489 1.155 -0.177 1.644
233 15 4.492 2.0151 0.414 0.791 0 1.349 0.251 0.584 -0.082 0.835
237 54 4.2443 0.8271 0.401 0.909 -0.016 1.33 0.489 1.155 -0.177 1.644
245 73 5.4812 2.4065 0.451 0.758 0.135 1.341 0.483 0.86 0.107 1.343
251 4 0.7276 6.8927 0.106 0.467 -0.276 0.598 -0.01 0.27 -0.29 0.26
254 78 10.7905 5.7563 0.87 0.577 1.144 1.473 0.688 0.305 1.072 0.993
257 81 3.1989 1.2354 0.306 0.886 -0.295 1.096 0.439 0.82 0.058 1.258
266 63 7.6043 1.1473 0.596 0.851 0.47 1.439 0.359 1.08 -0.363 1.439
276 99 10.9273 8.1127 0.856 0.412 1.361 1.244 0.777 0.532 1.023 1.31
284 38 0.6063 8.1084 0.154 0.387 -0.172 0.598 -0.07 0.271 -0.411 0.201
286 98 8.662 2.104 0.718 0.779 0.746 1.531 0.457 0.68 0.233 1.136
312 16 7.8575 6.7295 0.654 0.446 0.827 1.122 0.58 0.72 0.44 1.299
314 75 6.3891 5.0055 0.536 0.537 0.575 1.093 0.551 0.835 0.267 1.386
316 62 3.2204 10.0236 0.28 0.234 0.325 0.583 0.244 0.157 0.33 0.401
319 52 1.0427 8.7145 0.099 0.263 -0.068 0.467 0.024 0.474 -0.426 0.497
325 11 9.9333 3.2468 0.755 0.727 0.787 1.5 0.824 0.892 0.756 1.716
345 3 3.1501 6.7656 0.311 0.441 0.206 0.711 0.22 0.618 -0.178 0.838
355 32 5.1933 7.1497 0.451 0.347 0.651 0.858 0.249 0.105 0.393 0.354
370 55 7.8348 4.5887 0.607 0.596 0.776 1.251 0.818 0.317 1.32 1.136
376 53 1.6522 5.1296 0.207 0.546 -0.033 0.597 0.005 0.268 -0.258 0.273
402 37 6.4755 4.4346 0.552 0.63 0.385 1.242 0.26 0.702 -0.182 0.962
407 43 3.4664 9.9171 0.28 0.234 0.397 0.701 0.244 0.157 0.33 0.401
408 42 5.6353 1.9726 0.451 0.758 0.273 1.097 0.483 0.86 0.107 1.343
443 70 4.3882 11.3421 0.355 0.133 0.518 0.561 0.188 0.372 0.004 0.56
450 67 3.9942 7.9088 0.385 0.344 0.514 0.725 0.474 0.639 0.309 1.114
466 60 10.22 1.9402 0.76 0.782 0.823 1.584 0.565 1.081 0.048 1.646
472 40 8.3659 8.6985 0.737 0.301 1.241 1.053 0.586 0.585 0.587 1.171
476 5 0.7614 4.4631 0.126 0.606 -0.346 0.63 -0.041 0.518 -0.6 0.476
492 2 8.4009 3.6023 0.699 0.719 0.579 1.399 0.696 0.732 0.661 1.428
496 31 5.531 2.1306 0.451 0.758 0.239 1.21 0.483 0.86 0.107 1.343
501 8 4.2591 11.2818 0.355 0.133 0.472 0.42 0.188 0.372 0.004 0.56
503 75 1.7173 4.992 0.207 0.546 -0.015 0.851 0.005 0.268 -0.258 0.273
526 94 7.0227 2.2293 0.578 0.776 0.306 1.375 0.74 0.827 0.653 1.566
532 95 8.8807 7.9725 0.672 0.358 0.99 0.983 0.93 0.506 1.355 1.436
539 65 10.8899 1.7988 0.899 0.752 1.102 1.695 0.808 0.936 0.679 1.744
546 28 8.7831 0.8629 0.713 0.899 0.549 1.598 0.647 0.71 0.584 1.356
547 41 10.2336 0.7651 0.77 0.84 0.619 1.599 0.544 1.134 -0.046 1.677
558 91 3.1124 3.5894 0.32 0.688 -0.157 0.976 0.172 0.471 -0.127 0.644
562 5 3.1726 6.6805 0.311 0.441 0.184 0.841 0.22 0.618 -0.178 0.838
