sample,country,countryspecies,population,latwgs84,lonwgs84,latetrs89,lonetrs89
AT_FS_13_01,AT,AT_FS,AT_FS_13,46.49919,14.06862,2606992.696,4633471.323
AT_FS_13_02,AT,AT_FS,AT_FS_13,46.49735,14.06815,2606786.637,4633446.04
AT_FS_13_03,AT,AT_FS,AT_FS_13,46.49735,14.068,2606786.006,4633434.533
AT_FS_13_04,AT,AT_FS,AT_FS_13,46.49724,14.06788,2606773.3,4633425.971
AT_FS_13_05,AT,AT_FS,AT_FS_13,46.49562,14.06661,2606588.278,4633338.023
AT_FS_13_06,AT,AT_FS,AT_FS_13,46.49554,14.06662,2606579.447,4633339.258
AT_FS_13_07,AT,AT_FS,AT_FS_13,46.49534,14.0668,2606558.021,4633354.238
AT_FS_13_08,AT,AT_FS,AT_FS_13,46.49525,14.06679,2606547.997,4633353.998
AT_FS_13_09,AT,AT_FS,AT_FS_13,46.49514,14.06688,2606536.175,4633361.546
AT_FS_13_10,AT,AT_FS,AT_FS_13,46.49512,14.06663,2606532.905,4633342.483
AT_FS_13_11,AT,AT_FS,AT_FS_13,46.49507,14.0667,2606527.654,4633348.146
AT_FS_13_12,AT,AT_FS,AT_FS_13,46.49512,14.06645,2606532.149,4633328.674
AT_FS_13_13,AT,AT_FS,AT_FS_13,46.49523,14.06671,2606545.442,4633347.977
AT_FS_13_14,AT,AT_FS,AT_FS_13,46.49563,14.06662,2606589.43,4633338.732
AT_FS_13_15,AT,AT_FS,AT_FS_13,46.49657,14.06713,2606695.833,4633372.356
AT_FS_13_16,AT,AT_FS,AT_FS_13,46.49743,14.06826,2606795.972,4633454.011
AT_FS_13_17,AT,AT_FS,AT_FS_13,46.49739,14.0683,2606791.704,4633457.314
AT_FS_13_18,AT,AT_FS,AT_FS_13,46.49709,14.06787,2606756.621,4633426.082
AT_FS_13_19,AT,AT_FS,AT_FS_13,46.4968,14.0677,2606723.741,4633414.738
AT_FS_13_20,AT,AT_FS,AT_FS_13,46.49728,14.06731,2606775.34,4633382.009
AT_FS_13_21,AT,AT_FS,AT_FS_13,46.49729,14.06767,2606777.963,4633409.568
AT_FS_13_22,AT,AT_FS,AT_FS_13,46.49744,14.06845,2606797.881,4633468.528
AT_FS_13_23,AT,AT_FS,AT_FS_13,46.49754,14.06862,2606809.687,4633480.984
AT_FS_13_24,AT,AT_FS,AT_FS_13,46.4976,14.06878,2606817.015,4633492.907
AT_FS_13_25,AT,AT_FS,AT_FS_13,46.49858,14.06844,2606924.281,4633461.086
AT_FS_14_01,AT,AT_FS,AT_FS_14,46.58452,14.27019,2617325.057,4648408.316
AT_FS_14_02,AT,AT_FS,AT_FS_14,46.58458,14.26995,2617330.653,4648389.568
AT_FS_14_03,AT,AT_FS,AT_FS_14,46.58462,14.2693,2617332.224,4648339.548
AT_FS_14_04,AT,AT_FS,AT_FS_14,46.58462,14.26912,2617331.43,4648325.764
AT_FS_14_05,AT,AT_FS,AT_FS_14,46.58473,14.26905,2617343.321,4648319.727
AT_FS_14_06,AT,AT_FS,AT_FS_14,46.58504,14.26879,2617376.556,4648297.911
AT_FS_14_07,AT,AT_FS,AT_FS_14,46.58529,14.26842,2617402.652,4648268.041
AT_FS_14_08,AT,AT_FS,AT_FS_14,46.58529,14.26785,2617400.14,4648224.393
AT_FS_14_09,AT,AT_FS,AT_FS_14,46.58506,14.26725,2617371.987,4648179.861
AT_FS_14_10,AT,AT_FS,AT_FS_14,46.58533,14.26702,2617400.919,4648160.589
AT_FS_14_11,AT,AT_FS,AT_FS_14,46.58566,14.26682,2617436.637,4648143.246
AT_FS_14_12,AT,AT_FS,AT_FS_14,46.58518,14.26586,2617379.172,4648072.684
