sample;country;countryspecies;population;latwgs84;lonwgs84;latetrs89;lonetrs89;Bio01;Bio02;Bio03;Bio04;Bio05;Bio06;Bio07;Bio08;Bio09;Bio10;Bio11;Bio12;Bio13;Bio14;Bio15;Bio16;Bio17;Bio18;Bio19;gmted;pH.top;pH.dee
AT_FS_13_01;AT;AT_FS;AT_FS_13;46.49919;14.06862;2606992.696;4633471.323;5.77152535095878;8.7;30.467436119723;715.118948336378;19.6675206267848;-8.81100119763407;28.4785218244188;11.1151277605541;-2.25598349857218;14.8570809805219;-3.63753440396129;1938.65342478763;205.624773734431;76.6803825159447;28.4822572503081;614.289939607725;275.897363013007;593.771388361755;306.267897566564;1175.78949183266;5.04818828176072;5.27618632699024
AT_FS_13_02;AT;AT_FS;AT_FS_13;46.49735;14.06815;2606786.637;4633446.04;5.55350931336729;8.7;30.5704109091376;712.171806929809;19.4351175065635;-8.93273661098208;28.3678541175456;10.9091781817248;-2.44190599474917;14.6290514016043;-3.79905627618237;1962.95130679387;207.713464348379;77.8650262638338;28.403950791281;621.271263122139;279.625936752806;600.426404168433;310.647552556685;1210.47501821358;5.05247736125819;5.27725217610632
AT_FS_13_03;AT;AT_FS;AT_FS_13;46.49735;14.068;2606786.006;4633434.533;5.5419596467729;8.7;30.5769068834588;712.017345828149;19.4224832758804;-8.93995943143266;28.3624427073131;10.8961862330824;-2.45201337929563;14.616059452962;-3.80663681459221;1963.52547197148;207.77622073278;77.8873873406823;28.4053930733289;621.455194018989;279.699527367883;600.599523655029;310.735196864071;1212.38446153441;5.05103260280225;5.27679930036247
AT_FS_13_04;AT;AT_FS;AT_FS_13;46.49724;14.06788;2606773.3;4633425.971;5.52032600817617;8.7;30.587863458085;711.726947547664;19.3990906159674;-8.95283453803049;28.3519251539979;10.8742730838299;-2.47072750722606;14.5928263037042;-3.82199241054531;1965.38352785872;207.945515776843;77.9740185328118;28.4017125839688;622.002243066097;279.975255072191;601.119855148757;311.059161632499;1215.88698009514;5.05108018976767;5.27713247856158
AT_FS_13_05;AT;AT_FS;AT_FS_13;46.49562;14.06661;2606588.278;4633338.023;5.19385325664704;8.69954777771637;30.7521319899729;707.354917520404;19.0426234571602;-9.15424856966319;28.1968720268234;10.5435102373637;-2.75491694386613;14.2426234571602;-4.05556990778653;1991.88384995908;210.366979791429;79.2182671318474;28.3459091182659;629.776998562874;283.947104929004;608.516217176866;315.710762807541;1269.04839910325;5.06131023932966;5.28698289172493
AT_FS_13_06;AT;AT_FS;AT_FS_13;46.49554;14.06662;2606579.447;4633339.258;5.178566146285;8.69905600013938;30.7592355451517;707.137761092923;19.0250445692138;-9.16460390243022;28.189648471644;10.5268913494212;-2.76791227664387;14.2250445692139;-4.06735346298434;1992.47615348014;210.428523565604;79.2533895750149;28.3424408958268;629.931881662853;284.049902923946;608.652716721621;315.836972580153;1271.6222434162;5.06246187994996;5.28764970788074
AT_FS_13_07;AT;AT_FS;AT_FS_13;46.49534;14.0668;2606558.021;4633354.238;5.15673208999947;8.69773748608452;30.7678725732854;706.808371855244;18.9992519988629;-9.17959944463885;28.1788514435018;10.5034987790799;-2.785787818864;14.1992519988629;-4.0858304911573;1993.21052304009;210.500375332833;79.3120591735963;28.3319994098347;630.080595478322;284.20886280392;608.768313508859;316.037810974344;1275.32920326572;5.06614671583653;5.28928563907939
AT_FS_13_08;AT;AT_FS;AT_FS_13;46.49525;14.06679;2606547.997;4633353.998;5.13717613599134;8.6971684975998;30.7771705502875;706.532340867683;18.9768470563609;-9.19282641013918;28.1696734665001;10.4821738365822;-2.80249478437828;14.1768470563609;-4.10064846818156;1993.984278947;210.581386114324;79.3557620931485;28.3283683983026;630.28915681114;284.338705493466;608.954376864622;316.196302652487;1278.61829521662;5.06728997699313;5.29000966256435
AT_FS_13_09;AT;AT_FS;AT_FS_13;46.49514;14.06688;2606536.175;4633361.546;5.1240023591194;8.69639505339186;30.7825574387187;706.334077776866;18.9613398352748;-9.20186674278979;28.1632065780646;10.4679866155014;-2.81333511703606;14.1613398352748;-4.11155535663477;1994.4412457941;210.626681554397;79.3900962027195;28.3227818424851;630.387896575414;284.433268487374;609.03404974041;316.314919090696;1280.85290616893;5.06918980534142;5.29085309539494
AT_FS_13_10;AT;AT_FS;AT_FS_13;46.49512;14.06663;2606532.905;4633342.483;5.09370810718682;8.69647149043928;30.7990845646905;705.936764235424;18.9276420203757;-9.22203743172903;28.1496794521048;10.4345288006033;-2.84022580600215;14.1276420203758;-4.13228248262334;1995.79533425694;210.774629251093;79.4459611436128;28.3247454054459;630.811983228376;284.617204687837;609.432729267365;316.531778854243;1285.90180025612;5.06824646854297;5.29112953785213
