REF_Fst,CAND_Fst,GI5_Fst,LFY_Fst,FRI_Fst,weights,xCoord.S1,yCoord.S1,xCoord.S2,yCoord.S2,s1.bio_1,s1.bio_10,s1.bio_15,s1.bio_18,s1.bio_2,s1.bio_7,s2.bio_1,s2.bio_10,s2.bio_15,s2.bio_18,s2.bio_2,s2.bio_7
0.219217474,0.316656048,0.348416264,0.371156414,0.308732895,1,-384.615469,1027.451716,-2192.833452,3882.275799,3.1,18.2,63,189,13.1,48.9,-10.7,8.5,60,89,11,50.7
0.174859464,0.142816426,0.005795037,0.234237608,0.196094758,1,-384.615469,1027.451716,-2563.667805,3363.830094,3.1,18.2,63,189,13.1,48.9,-5.2,9,63,196,10.2,39.9
0.116433166,0.108838494,0.036378723,0.124613427,0.074932322,1,-384.615469,1027.451716,-146.9142688,1615.053487,3.1,18.2,63,189,13.1,48.9,-1.2,15.9,52,204,10.3,51
0.119578177,0.120911437,0.012670944,0.114032456,0.067333763,1,-384.615469,1027.451716,-1067.930875,1580.692407,3.1,18.2,63,189,13.1,48.9,1.8,15,66,234,11.9,42.7
0.170943152,0.164738703,0.008064346,0.420769247,0.091884787,1,-384.615469,1027.451716,-2391.457038,3413.089829,3.1,18.2,63,189,13.1,48.9,-4.3,13.5,65,154,10.9,49.3
0.285518369,0.372416157,0.254180008,0.511902706,0.090123524,1,-384.615469,1027.451716,2048.546618,1062.207543,3.1,18.2,63,189,13.1,48.9,3.2,16.3,12,295,11.1,41.6
0.103536265,0.126594896,0.011758334,0.320368498,0.119964512,1,-384.615469,1027.451716,-917.4329518,1919.05922,3.1,18.2,63,189,13.1,48.9,0,15,57,217,12.5,49.2
0.197898875,0.193735248,0.009410006,0.428505748,0.208810602,1,-384.615469,1027.451716,-2817.269214,3726.866322,3.1,18.2,63,189,13.1,48.9,-4.6,13.6,51,154,9.3,47.5
0.112247787,0.112601543,0.010084358,0.194222605,0.139271872,1,-384.615469,1027.451716,99.03966564,1807.763155,3.1,18.2,63,189,13.1,48.9,-4.4,13.1,48,202,10.7,51.9
0.159964759,0.207595467,0.03319305,0.132694605,0.104278698,1,-384.615469,1027.451716,-1395.927399,1780.301275,3.1,18.2,63,189,13.1,48.9,1.8,13.2,44,233,12,39.5
0.126954716,0.131598752,0.011770651,0.354915686,0.058543548,1,-384.615469,1027.451716,-206.1196358,1462.084383,3.1,18.2,63,189,13.1,48.9,0.3,16.7,51,203,9.5,48.4
0.126794968,0.092308539,0.005241947,0.121836308,0.14757212,1,-384.615469,1027.451716,-1066.543011,2393.759537,3.1,18.2,63,189,13.1,48.9,-3.3,13.9,36,133,10.5,50.7
0.153328223,0.28064655,0.347424416,0.293489967,0.228984389,1,-384.615469,1027.451716,-1664.200218,3493.36477,3.1,18.2,63,189,13.1,48.9,-9.2,11.4,42,93,9.3,51.2
0.276095438,0.343786286,0.218115173,0.40008143,0.105113543,1,-384.615469,1027.451716,1585.576093,2245.811056,3.1,18.2,63,189,13.1,48.9,-5.6,9.3,29,175,8.9,44.4
0.476335901,0.647546262,0.422926877,0.975981137,0.055935714,1,-384.615469,1027.451716,1866.055322,1698.872071,3.1,18.2,63,189,13.1,48.9,-3.6,11.4,28,306,10.7,46.4
0.13139206,0.08129054,0.002525373,0.124839073,0.054127655,1,-384.615469,1027.451716,-564.6831192,1514.882574,3.1,18.2,63,189,13.1,48.9,0.1,15.8,48,195,12.1,50.5
0.123361816,0.07765922,0.005970128,0.028579315,0.066105031,1,-384.615469,1027.451716,-426.7698953,1216.374288,3.1,18.2,63,189,13.1,48.9,1.5,16.8,51,186,12,48.9
0.458815135,0.512708818,0.279936596,0.561355187,0.382312443,1,-384.615469,1027.451716,1824.687253,1541.520674,3.1,18.2,63,189,13.1,48.9,-2.1,12.5,25,334,11.1,46.1
0.309673693,0.364406348,0.063009567,0.515762452,0.115390752,1,-384.615469,1027.451716,1983.805474,1248.076615,3.1,18.2,63,189,13.1,48.9,2.1,15,15,302,10.8,41.6
0.280055382,0.305585033,0.101278939,0.124832187,0.186117008,1,-384.615469,1027.451716,-3153.883063,3997.134713,3.1,18.2,63,189,13.1,48.9,-3.6,9.1,62,168,7.6,33.6
0.144511114,0.228314666,0.085688174,0.39851751,0.413544965,1,-384.615469,1027.451716,-1478.058372,3049.382989,3.1,18.2,63,189,13.1,48.9,-5.8,14,48,141,11,53.1
0.136157723,0.175897328,0.044395822,0.337713542,0.087813154,1,-384.615469,1027.451716,-149.4650633,1065.28304,3.1,18.2,63,189,13.1,48.9,3,18.5,55,219,11.7,48.7
0.182671777,0.186264091,0.030343156,0.225565512,0.125214791,1,-384.615469,1027.451716,1255.675587,1059.596183,3.1,18.2,63,189,13.1,48.9,0.8,15,30,312,11.3,46.2
0.765054473,0.47571048,0.153619226,0.647782268,0.171029818,1,-384.615469,1027.451716,2245.349458,1139.797348,3.1,18.2,63,189,13.1,48.9,5.2,17.2,12,257,9.2,36.8
0.148626379,0.128309392,0.042127276,0.113058961,0.19009637,1,-384.615469,1027.451716,305.0026349,1126.635862,3.1,18.2,63,189,13.1,48.9,0.7,16.2,36,279,11.3,49.2
0.116383915,0.125800773,0.016264823,0.270598137,0.057299156,1,-384.615469,1027.451716,-489.7474458,1773.978036,3.1,18.2,63,189,13.1,48.9,-1.8,14.7,49,222,11.3,50.8
0.124322669,0.121496324,0.062447375,0.117683896,0.145550116,1,-384.615469,1027.451716,-1067.325553,1459.492846,3.1,18.2,63,189,13.1,48.9,2.4,15.6,62,206,11.7,43.3
0.133126729,0.134773357,0.006518763,0.362450841,0.107620497,1,-384.615469,1027.451716,-534.9494546,2153.127533,3.1,18.2,63,189,13.1,48.9,-4.5,13.4,48,180,10.9,53.7
0.167527413,0.176954852,0.026350982,0.44742274,0.13026444,1,-384.615469,1027.451716,-2101.183665,2731.513395,3.1,18.2,63,189,13.1,48.9,-3.4,9.3,35,109,11,41
0.166590351,0.13079246,0.010650862,0.070299697,0.087188625,1,-384.615469,1027.451716,-445.8753816,1947.907655,3.1,18.2,63,189,13.1,48.9,-3.3,13.7,48,222,10.1,50.1
